Day,Camera,Site,Box Number,Image Number,Tile Number,Fish ID,Length,Notes,,,
2021,1,C,1,7021,35,spotfin butterfly (Chaetodon ocellatus),15.726,,,,
2021,1,C,1,7021,35,wrasse sp 1 (Labridae sp.),2.128,"probably bluehead wrasse juvenile/initial phase (Thalassoma bifasciatum) all yellow variation or yellowhead wrasse juvenile (Halichoeres garnoti), I'm leaning more towards yellowhead because it looks exactly like yellowhead 760, yellowish in color, too small/blurry to identify",,,
2021,1,C,1,7021,35,wrasse sp 1 (Labridae sp.),2.815,"probably bluehead wrasse juvenile/initial phase (Thalassoma bifasciatum) all yellow variation or yellowhead wrasse juvenile (Halichoeres garnoti), I'm leaning more towards yellowhead because it looks exactly like yellowhead 760, yellowish in color, too small/blurry to identify",,,
2021,1,C,1,7021,35,wrasse sp 1 (Labridae sp.),1.689,"probably bluehead wrasse juvenile/initial phase (Thalassoma bifasciatum) all yellow variation or yellowhead wrasse juvenile (Halichoeres garnoti), I'm leaning more towards yellowhead because it looks exactly like yellowhead 760, yellowish in color, too small/blurry to identify",,,
2021,1,C,1,7026,9,blue chromis (Chromis cyanea),11.196,,,,
2021,1,C,1,7027,23,french grunt (Haemulon flavolineatum),18.032,,,,
2021,1,C,1,7027,23,white grunt (Haemulon plumierii),36.441,,,,
2021,1,C,1,7038,42,bicolor damsel juvenile (Stegastes partitus),2.817,,,,
2021,1,C,1,7061,95,bluehead wrasse juvenile/initial phase (Thalassoma bifasciatum),4.434,all yellow variation ,,,
2021,1,C,1,7061,95,bicolor damsel (Stegastes partitus),6.081,,,,
2021,1,C,1,7063,95,bicolor damsel juvenile (Stegastes partitus),3.778,,,,
2021,1,C,1,7089,19,redband parrot juvenile (Sparisoma aurofrenatum),4.988,,,,
2021,1,C,1,7089,19,yellowhead wrasse juvenile (Halichoeres garnoti),4.275,,,,
2021,1,C,1,7090,19,bluehead wrasse juvenile/initial phase (Thalassoma bifasciatum),8.738,all yellow variation ,,,
2021,1,C,1,7090,19,bicolor damsel (Stegastes partitus),5.037,,,,
