Array,CameraID,prop_ag,elevation,dist_road,slope,dist_blg,bwoodland,cwoodland,rain,mart_pres,mart_pres01
Achlibster,ACH-001,0,94.5946,2.56103,0.560974,2.99229,0,0.182918,101.512,Y,1
Achlibster,ACH-002,0,82.3507,1.57368,2.45867,2.6994,0,0.445003,101.512,N,0
Achlibster,ACH-003,0,68.1715,0.397279,1.80014,2.00435,0,0.211923,101.512,N,0
Achlibster,ACH-004,0,80.3645,0.344558,2.3787,1.21146,0.057925,0.0407769,101.512,N,0
Achlibster,ACH-005,0,116.379,3.52654,2.44623,4.50584,0,1,102.889,Y,1
Achlibster,ACH-006,0,95,2.41831,0.291597,3.59163,0,0.298605,102.889,Y,1
Achlibster,ACH-007,0,95.8687,1.40007,1.12612,2.4282,0,0.990922,101.512,N,0
Achlibster,ACH-008,0,94.7705,1.01823,0.82001,2.41163,0,0.850198,101.512,Y,1
Achlibster,ACH-009,0,62.0723,0.726396,1.22243,1.53087,0,0.338177,101.512,Y,1
Achlibster,ACH-010,0,117.824,4.11926,1.90859,4.42006,0,0.63787,102.889,N,0
Achlibster,ACH-011,0,106.187,2.90558,3.24252,3.50584,0,1,102.889,Y,1
Achlibster,ACH-012,0,88.6338,1.50551,0.569003,2.09163,0,0.0124284,102.889,N,0
Achlibster,ACH-013,0,86.6446,0.667279,0.730987,0.928198,0,0.696924,101.512,Y,1
Achlibster,ACH-014,0,71.5988,0,2.05742,0.823762,0,0.130402,84.1342,Y,1
Achlibster,ACH-015,0,117.974,4.10382,0.907917,3.72675,0,0,102.889,N,0
Achlibster,ACH-016,0,122.251,3.34014,1.50045,3.01964,0,0.320785,102.889,Y,1
Achlibster,ACH-017,0,92.0293,1.94007,1.13771,1.60543,0,0.620611,102.889,Y,1
Achlibster,ACH-018,0,120.159,3.69375,0.906609,3.31253,0,0,102.889,Y,1
Achlibster,ACH-019,0,107.105,2.74367,2.5456,2.39832,0,0.274967,96.9145,Y,1
Achlibster,ACH-020,0,96.7965,3.06,2.09478,2.69121,0,0,96.9145,N,0
"Glenhurich, Ardnamurchan",ARD-001,0,30.2595,3.45463,9.5235,1.98678,0,0.331417,201.884,Y,1
"Glenhurich, Ardnamurchan",ARD-002,0,3,2.59831,1.57999,1.17205,0.0409462,0.128223,201.884,N,0
"Glenhurich, Ardnamurchan",ARD-003,0,50.695,5.41014,20.3396,2.66501,0.32838,0.258087,250.209,N,0
"Glenhurich, Ardnamurchan",ARD-004,0,87.1164,6.75375,7.30207,0.957904,0.0150342,0.963793,250.209,N,0
"Glenhurich, Ardnamurchan",ARD-005,0,46.8605,7.52007,16.5208,0.0678847,0,0.406024,250.209,N,0
"Glenhurich, Ardnamurchan",ARD-006,0,102.175,5.4964,22.1241,2.81987,0.0427045,0.814808,230.129,N,0
"Glenhurich, Ardnamurchan",ARD-007,0,153.719,5.42184,28.9208,2.07111,0,0.873262,250.209,N,0
"Glenhurich, Ardnamurchan",ARD-008,0,177.71,5.01661,22.6874,3.57493,0.366268,0.201069,201.884,N,0
"Glenhurich, Ardnamurchan",ARD-009,0,221.924,6.03485,13.7964,2.37212,0,0.107513,250.209,N,0
"Glenhurich, Ardnamurchan",ARD-010,0,116.977,4.08838,15.3244,2.58626,0.00265298,0.835622,201.884,N,0
"Glenhurich, Ardnamurchan",ARD-011,0.0475649,5.83513,3.43014,1.62214,1.77957,0,0.101926,201.884,N,0
"Glenhurich, Ardnamurchan",ARD-012,0,159.553,6.35912,16.7346,1.493,0,0.84333,250.209,N,0
"Glenhurich, Ardnamurchan",ARD-013,0,368.556,5.68014,12.5028,3.28555,0,0.11754,230.129,N,0
"Glenhurich, Ardnamurchan",ARD-014,0,70.5011,6.76279,16.7902,3.01045,0,0.896652,230.129,N,0
"Glenhurich, Ardnamurchan",ARD-015,0,210.323,6.95184,16.9682,1.30335,0,0.540314,250.209,N,0
"Glenhurich, Ardnamurchan",ARD-016,0.0328029,33.9363,4.42014,6.13301,2.77957,0.0237834,0,201.884,N,0
"Glenhurich, Ardnamurchan",ARD-017,0,181.126,2.26919,10.3029,2.3107,0,0.0137515,200.856,N,0
"Glenhurich, Ardnamurchan",ARD-018,0,135.294,7.66014,24.0664,3.80335,0,0.5022,230.129,N,0
"Glenhurich, Ardnamurchan",ARD-019,0,212.019,5.49,16.2988,1.6569,0,0.82258,250.209,N,0
"Glenhurich, Ardnamurchan",ARD-020,0,233.535,4.5,7.44735,2.6569,0,0.814651,244.107,N,0
Black Isle,BI-001,0,145.466,2.77456,1.54093,1.82607,0,0.921862,78.758,Y,1
Black Isle,BI-002,0,178.003,3.43654,1.43959,2.96954,0,1,72.2856,Y,1
Black Isle,BI-003,0,202.645,3.5947,1.82818,2.01489,0,1,72.2856,Y,1
Black Isle,BI-004,0.135694,144.204,2.89014,4.43465,1.46932,0,0.813466,72.2856,Y,1
Black Isle,BI-005,0,189.242,2.41831,0.762217,2.46932,0,0.962776,72.2856,Y,1
Black Isle,BI-006,0,169.089,2.00823,4.33665,2.74028,0,1,78.758,Y,1
Black Isle,BI-007,0,121.396,2.14456,2.85196,1.53317,0,0.9827,78.758,Y,1
Black Isle,BI-008,0,134.085,0.614558,3.21679,2.35324,0,0.922982,78.758,Y,1
Black Isle,BI-009,0,172.743,1.01823,1.02206,3.15449,0,1,78.758,N,0
Black Isle,BI-010,0.136392,152.871,2.03647,3.09452,2.37867,0,0.516382,72.2856,Y,1
Black Isle,BI-011,0.272027,111.051,0.45,8.31746,1.35702,0,0.704672,78.758,Y,1
Black Isle,BI-012,0,188.218,0.09,2.01948,2.85702,0,1,78.758,Y,1
Black Isle,BI-013,0,165,1.01823,1.81947,2.17596,0,0.990048,72.2856,Y,1
Black Isle,BI-014,0.0146749,165.879,2.03647,4.83118,2.25761,0,0.674925,78.7369,Y,1
Black Isle,BI-015,0,188.016,0.980955,0.845094,2.18719,0,1,78.758,N,0
Black Isle,BI-016,0,164.906,0.471838,2.66724,2.07284,0,0.569779,72.2856,Y,1
Black Isle,BI-017,0.00262735,132.743,1.65463,2.42975,0.971041,0,0.44096,78.758,Y,1
Black Isle,BI-018,0,213.671,3.39926,6.61379,1.905,0,1,91.405,Y,1
Black Isle,BI-019,0,205.907,4.54477,1.47943,1.95512,0,1,91.405,Y,1
Black Isle,BI-020,0.25812,159.198,4.03566,5.12994,1.01489,0,0.739733,72.2856,Y,1
Darnaway,DARN-01,0.18347,52.9931,1.08,3.97249,0.912635,0,0.37718,74.4883,N,0
Darnaway,DARN-02,0.724087,29.2662,0.307279,2.38871,1.10899,0.108808,0.147483,62.8972,N,0
Darnaway,DARN-03,0.0504948,44,0.599117,0.604541,1.73371,0.0156872,0.886318,62.8972,N,0
Darnaway,DARN-04,0,83.5773,2.17279,1.97155,0.335,0.0202317,0.569792,74.4883,N,0
Darnaway,DARN-05,0.0394772,67.7555,2.14456,1.29658,1.32087,0,0.15393,74.4883,N,0
Darnaway,DARN-06,0.213401,59.0418,2.32456,4.25313,0.785,0.112291,0.124141,74.4883,Y,1
Darnaway,DARN-07,0,50.05,1.55823,2.51496,2.45328,0.12281,0.414492,74.4883,N,0
Darnaway,DARN-08,0.0071465,29.1996,0.63,0.886412,2.02726,0.00466013,0.121805,74.4883,N,0
Darnaway,DARN-09,0.0053255,109.756,3.47912,5.10794,1.25518,0,0.495831,74.4883,Y,1
Darnaway,DARN-10,0,85.6557,2.89919,2.48115,0.506066,0,0.734854,74.4883,N,0
Darnaway,DARN-11,0.0294746,73.4184,2.01463,2.77112,0.085,0.0968121,0.708437,74.4883,Y,1
Darnaway,DARN-12,0,74.1343,1.34095,11.2347,1.11305,0,0.990422,74.4883,N,0
Darnaway,DARN-13,0,180.51,3.43654,1.06064,1.8517,0.136461,0.674041,74.4883,Y,1
Darnaway,DARN-14,0,151.344,2.43,4.26565,1.51673,0,0.894307,74.4883,Y,1
Darnaway,DARN-15,0,133.474,1.38728,12.0812,1.59142,0,0.750679,74.4883,N,0
Darnaway,DARN-16,0,61.4265,0.344558,8.28295,1.65749,0.238938,0.553536,74.4883,Y,1
Darnaway,DARN-17,0,190.473,2.67286,2.22689,2.82574,0,0.993891,73.5564,N,0
Darnaway,DARN-18,0,179.497,2.03647,0.944503,2.38607,0,1,73.5564,Y,1
Darnaway,DARN-19,0,165.295,0.980955,6.19526,1.21305,0.00292438,0.870572,73.5564,N,0
Darnaway,DARN-20,0,142.223,0.980955,4.50798,1.38192,0,0.89086,73.5564,N,0
Dundreggan,DUN-01,0,293.864,1.76912,7.14914,1.78685,0,0,175.842,Y,1
Dundreggan,DUN-02,0,414.267,2.37728,15.5398,2.24962,0,0,160.207,N,0
Dundreggan,DUN-03,0,362.599,2.59456,8.12946,2.82004,0,0,160.207,Y,1
Dundreggan,DUN-04,0,398.923,2.24735,8.25288,3.94136,0,0,160.207,N,0
Dundreggan,DUN-05,0,383.432,2.28728,10.2617,5.07016,0,0.218857,160.207,Y,1
Dundreggan,DUN-06,0,310.509,2.03007,8.04905,3.86305,0,0.292125,160.207,N,0
Dundreggan,DUN-07,0,297.825,0.779117,3.72504,1.37263,0,0,175.842,N,0
Dundreggan,DUN-08,0,224.174,0.757279,7.64059,0.615,0,0,181.313,Y,1
Dundreggan,DUN-09,0,281.242,0.9,14.4966,1.52714,0,0,181.313,Y,1
Dundreggan,DUN-10,0,358.612,1.19823,16.5948,2.23425,0,0.0320765,181.313,Y,1
Dundreggan,DUN-11,0,265.43,0.943675,8.16741,3.31834,6.15E-05,0.929676,160.207,Y,1
Dundreggan,DUN-12,0,337.078,1.10823,4.98986,4.00388,0,0.530273,160.207,N,0
Dundreggan,DUN-13,0,239.888,1.15456,7.93574,2.79678,0.0201876,0.916549,136.521,Y,1
Dundreggan,DUN-14,0,136.863,0,6.85368,1.61702,0.0666907,0.176228,175.842,N,0
Dundreggan,DUN-15,0,120.389,0,2.95455,0.409914,0.0470318,0,181.313,N,0
Dundreggan,DUN-16,0,113.476,0,1.6022,0.989914,0,0,181.313,Y,1
Dundreggan,DUN-17,0,154.387,0.307279,15.3543,1.69702,0,0.198555,181.313,Y,1
Dundreggan,DUN-18,0.0546112,109,0.09,8.59749,3.40413,0,0.45294,181.313,Y,1
Dundreggan,DUN-19,0,89.0391,0.18,4.31472,4.40413,0.649963,0.295348,181.313,Y,1
Dundreggan,DUN-20,0,74.9658,0.307279,1.37587,3.4181,0.16198,0.613721,189.794,Y,1
"Dunrobin, Golspie",DUNR-001,0,259.831,2.7,7.34688,2.18092,0,0.101453,103.488,N,0
"Dunrobin, Golspie",DUNR-002,0,124.039,3.48926,1.64146,2.07329,0,0.0731014,87.5075,Y,1
"Dunrobin, Golspie",DUNR-003,0,278.908,3.2347,13.9726,1.66116,0,0.10268,87.5075,Y,1
"Dunrobin, Golspie",DUNR-004,0,318.28,2.82463,11.5757,1.40849,0,0,87.5075,N,0
"Dunrobin, Golspie",DUNR-005,0,202.578,2.79,13.2815,2.52981,0,0.00477968,87.5075,N,0
"Dunrobin, Golspie",DUNR-006,0,45.8935,2.29103,1.87879,1.53263,0,0.54736,78.4769,N,0
"Dunrobin, Golspie",DUNR-007,0,38.7492,1.61735,2.33011,0.96033,0.0166297,0.832937,78.4769,N,0
"Dunrobin, Golspie",DUNR-008,0.0551396,54.3279,1.66368,3.14022,1.35678,0,0.250946,78.4769,Y,1
