Array,X,Y,CameraID,Date01,Date02,Date03,Date04,Date05,Date06,Date02_1,Date03_1,Date04_1,Date05_1,Date06_1,arable,bog,bwoodland,coast,cwoodland,edge,elevation,freshwater,gorse,grassland,heather,igrassland,montane,mwoodland,nearprimar,nearsecond,primarylen,rain,riverlengt,roads,rock,ruggedness,secondleng,sgrassland,slope,snow,temperatur,urban,woodland
Achlibster,308152,951820,ACH-001,NA,0,0,1,0,0,1078,1085,1092,1099,1106,0,0.817082,0,18.1925,0.182918,0,94.5946,0.0967014,0,0,0,0,0,0,2.56103,3.76501,0,101.512,0.188511,2.12132,5.45403,48.5727,0,0,0.560974,4.45833,8.13333,2.99229,0
Achlibster,308769,952610,ACH-002,NA,0,0,0,0,0,1078,1085,1092,1099,1106,0,0.462679,0,17.4854,0.445003,0.102721,82.3507,0.189497,0,0.0244727,0.067845,0.00291239,0,0,1.57368,2.97212,0,101.512,0.511531,1.20711,5.16113,52.7374,0,0.0215603,2.45867,4.45833,8.13333,2.6994,0
Achlibster,309727,953101,ACH-003,NA,0,0,0,0,0,1077,1084,1091,1098,1105,0,0.315801,0,16.5712,0.211923,0,68.1715,0.135,0,0.42946,0.0210996,0.116369,0,0,0.397279,2.19998,0,101.512,0.911401,0,4.79187,53.6564,0,0.313091,1.80014,4.45833,8.13333,2.00435,0
Achlibster,310485,953893,ACH-004,NA,0,NA,NA,NA,NA,1079,NA,NA,NA,NA,0,0,0.057925,15.3641,0.0407769,0.0326351,80.3645,0.449722,0,0.850651,0.0506468,0.759535,0,0,0.344558,1.28577,0,101.512,0,0.5,3.47974,72.4893,0,0.0911168,2.3787,4.45833,8.13333,1.21146,0.057925
Achlibster,308250,950005,ACH-005,0,0,0,0,1,0,1078,1085,1092,1099,1106,0,0,0,20.1925,1,0,116.379,0.563051,0,0,0,0,0,0,3.52654,2.83609,0,102.889,0,2.62132,4.6256,77.557,0,0,2.44623,4.6,7.99111,4.50584,0
Achlibster,308847,951000,ACH-006,0,1,0,0,0,1,1078,1085,1092,1099,1106,0,0.701395,0,18.9854,0.298605,0,95,0.625638,0,0,0,0,0,0,2.41831,3.46548,0,102.889,0,2.12132,4.03981,67.0318,0,0,0.291597,4.6,7.99111,3.59163,0
Achlibster,309634,951790,ACH-007,NA,0,0,0,0,0,1077,1084,1091,1098,1105,0,0,0,18.0712,0.990922,0.172748,95.8687,0.440624,8.04E-09,0.00906362,1.44E-05,0,0,0,1.40007,2.67258,0,101.512,0,1.20711,3.95403,47.7887,0,0.00906362,1.12612,4.45833,8.13333,2.4282,0
Achlibster,309640,951848,ACH-008,NA,1,1,1,0,1,1077,1084,1091,1098,1105,0,0.0649632,0,17.5712,0.850198,0,94.7705,0.440624,0,0,0.0848393,0,0,0,1.01823,2.67258,0,101.512,0,1.20711,3.95403,54.6625,0,0,0.82001,4.45833,8.13333,2.41163,0
Achlibster,311209,953151,ACH-009,0,0,0,0,0,0,1077,1084,1091,1098,1105,0,0.568139,0,16.275,0.338177,0.0608784,62.0723,0.329497,0,0.0523685,0.0413157,0,0,0,0.726396,1.27991,0,101.512,0,0.707107,4.17055,53.5753,0,0.0523685,1.22243,4.45833,8.13333,1.53087,0
Achlibster,308860,949130,ACH-010,NA,0,0,0,0,0,1079,1086,1093,1100,1107,0,0.21368,0,20.9854,0.63787,0,117.824,0.109572,0,0,0.0445158,0,0,0,4.11926,1.68382,0,102.889,0.386472,1.41421,3.53861,65.6377,0,0,1.90859,4.6,7.99111,4.42006,0
Achlibster,309513,950202,ACH-011,0,0,0,0,1,0,1079,1086,1093,1100,1107,0,0,0,19.7783,1,0,106.187,0.316066,0,0,0,0,0,0,2.90558,2.42187,0,102.889,0,2.20711,3.1256,92.6492,0,0,3.24252,4.6,7.99111,3.50584,0
Achlibster,310350,950871,ACH-012,0,0,0,0,0,0,1078,1085,1092,1099,1106,0,0.445563,0,18.3641,0.0124284,0.07437,88.6338,0.309203,0,0.542008,0,0,0,0,1.50551,1.96548,0,102.889,0,1.20711,2.53981,46.2041,0,0.542008,0.569003,4.6,7.99111,2.09163,0
Achlibster,311313,951582,ACH-013,0,0,0,1,0,0,1079,1086,1093,1100,1107,0,0.124347,0,17.775,0.696924,0.0789599,86.6446,0.885,0,0.17873,0,0,0,0,0.667279,1.1747,0,101.512,0,0.5,2.46744,60.6845,0,0.17873,0.730987,4.45833,8.13333,0.928198,0
Achlibster,311795,952319,ACH-014,0,0,0,0,0,0,1077,1084,1091,1099,1106,0,0.0403649,0,16.775,0.130402,0.209188,71.5988,0.635,0,0.686954,0.142279,0.142199,0,0,0,1.05393,0.605767,84.1342,0,0,3.26033,70.746,0,0.544755,2.05742,4.14056,8.40306,0.823762,0
Achlibster,309685,948515,ACH-015,NA,0,0,0,0,0,1078,1085,1092,1099,1106,0,0.753378,0,20.2391,0,0,117.974,0.025,0,0,0.0275728,0,0,0,4.10382,0.714767,0,102.889,0,0.5,3.24572,49.2053,0,0,0.907917,4.6,7.99111,3.72675,0
Achlibster,310272,949207,ACH-016,0,0,0,1,1,0,1078,1085,1092,1099,1106,0,0.673771,0,20.3641,0.320785,0,122.251,0.359914,0,0,0,0,0,0,3.34014,1.105,0,102.889,0,1,2.53861,53.9488,0,0,1.50045,4.6,7.99111,3.01964,0
Achlibster,311027,950241,ACH-017,1,0,0,0,0,0,1078,1085,1092,1099,1106,0,0,0,19.275,0.620611,0.562245,92.0293,0.105,0,0.379389,0,0,0,0,1.94007,0.925,0,102.889,0.239621,1.20711,1.6256,83.0547,0,0.379389,1.13771,4.6,7.99111,1.60543,0
Achlibster,310998,948670,ACH-018,0,0,0,0,0,0,1077,1084,1091,1098,1105,0,1,0,19.8249,0,0,120.159,0.465091,0,0,0,0,0,0,3.69375,0.528766,0,102.889,0,0.5,1.74572,67.2433,0,0,0.906609,4.6,7.99111,3.31253,0
