woodchucks,temperature,rain,forage,predators
0,-2.22,0,90.25,0.14
0,11.7,0,57.46,0.14
0,12.25,0,68.26,0.06
0,10.6,0,80.65,0
0,-1.16,1,82.88,0.13
0,7.85,0,64.92,0.02
0,12.21,0,73.22,0.14
0,-0.67,0,58.07,0
0,8.01,0,18.97,0.15
1,6,0,62.3,0.06
0,-1.96,1,22.44,0.15
0,0.11,1,63.04,0.02
0,5.3,1,74.35,0.01
0,-0.86,1,44.62,0.13
0,8.54,0,77.19,0.01
0,-0.84,1,61.37,0.08
0,4.55,0,79.72,0.06
0,5.86,0,75.85,0.05
0,4.4,0,80.76,0.08
0,6.07,1,79.52,0.15
0,6.97,0,49.26,0.17
0,7.8,0,26.76,0.14
0,0.18,0,92.82,0.04
0,9.06,0,35.41,0
0,1.37,1,42.23,0.09
0,0.82,1,73.33,0.15
0,11.47,0,60.16,0
0,9.95,1,31.69,0.06
0,5,1,40.11,0.17
3,6.29,1,88.15,0.12
1,9.73,1,70.06,0.1
0,3.76,0,40.61,0.14
0,7.56,0,42.93,0.11
0,-1.89,1,31.62,0.02
1,6.42,0,73.66,0.1
0,8.8,0,46.59,0.09
0,8.59,0,88.05,0.04
0,5.15,1,89.95,0.09
0,11.29,1,24.08,0.12
0,-1.78,0,49.28,0.1
0,10.33,0,84.51,0
0,2.4,0,51.06,0.18
0,1.95,1,88.4,0.05
0,0.18,1,73.97,0.11
0,9.65,1,72.77,0.06
0,4.88,1,16.09,0.01
0,0.15,0,44.6,0.06
0,6.18,0,65.34,0.1
0,9.85,1,44.67,0.03
0,9.12,1,22.61,0.04
1,11.68,0,39.59,0.05
1,5.49,1,73.53,0.06
0,10,0,42.18,0.12
0,-0.57,1,93.29,0.14
0,10.88,0,40.9,0.04
0,12.44,0,29.19,0.06
0,9.06,0,23.23,0.08
0,8.13,1,23.09,0.03
0,8.16,1,72.79,0.1
0,2.63,1,53.45,0.12
0,9.04,0,33.99,0
0,11.52,1,46.23,0.14
0,4.13,1,91.8,0.14
0,10.16,0,30.3,0.09
0,4.28,0,30.54,0.04
2,6.58,1,69.88,0.05
0,4.38,0,35.85,0.11
0,6.27,0,56.21,0.09
0,11.43,0,42.42,0
0,-2.15,0,42.15,0
2,11.62,0,87.65,0
0,-1.76,0,74.14,0.06
0,-1.46,0,28.68,0.16
0,1.48,0,71.75,0.1
8,10.14,1,90.22,0.03
0,-2.42,0,37.68,0.02
6,9.15,0,92.34,0
0,6.56,1,38.84,0.06
12,11.04,1,89.35,0.07
0,2.92,0,63.32,0.12
0,10.5,1,30.14,0.05
0,9,1,15.27,0.06
0,2.53,1,52.88,0.1
1,10.22,1,67.23,0
0,-1.78,0,65.15,0.18
0,0.81,1,47.48,0
0,4.41,0,68.5,0.16
0,8.34,0,85.97,0.15
5,7.64,0,84.95,0.13
0,10.75,1,46.46,0.15
0,3.36,0,28.36,0.16
0,11.94,0,74.43,0.09
0,8.26,0,23.02,0.07
0,-1.82,1,72.91,0.1
5,8.67,1,86.91,0.15
0,3.64,0,38.07,0.12
0,5.33,1,27.18,0
0,2.58,0,92.54,0.11
3,10,0,71.06,0.11
1,4.92,1,73.31,0.13
