site,surv_1,surv_2,surv_3,surv_1_obs,surv_2_obs,surv_3_obs,prop_for
10A,1,1,1,obs3,obs1,obs3,0.7
10B,0,2,1,obs2,obs1,obs2,0.19
10C,0,2,2,obs3,obs1,obs3,0.72
10D,1,1,1,obs2,obs1,obs2,0.65
10E,1,2,2,obs3,obs1,obs3,0.6
10F,1,3,1,obs2,obs1,obs2,0.3
11A,0,0,2,obs1,obs2,obs1,0.65
11B,2,1,1,obs1,obs3,obs1,0.45
11C,1,0,1,obs1,obs2,obs1,0.71
11D,0,1,2,obs1,obs3,obs1,0.7
11E,0,0,1,obs1,obs2,obs1,0.43
11F,1,0,1,obs1,obs3,obs1,0.22
12A,0,0,1,obs1,obs3,obs2,0.33
12B,2,0,1,obs1,obs2,obs3,0.53
12C,2,1,0,obs1,obs2,obs1,0.45
12D,1,0,1,obs1,obs2,obs3,0.4
12E,1,1,2,obs1,obs3,obs2,0.51
12F,1,1,1,obs1,obs2,obs3,0.41
13A,0,1,2,obs1,obs1,obs3,0.48
13B,2,2,1,obs1,obs1,obs2,0.82
13C,1,2,2,obs1,obs1,obs3,0.49
13D,1,2,2,obs1,obs1,obs2,0.7
13E,2,1,0,obs1,obs3,obs1,0.36
13F,1,1,2,obs1,obs1,obs2,0.63
14A,2,1,1,obs1,obs2,obs1,0.67
14B,1,1,2,obs1,obs3,obs1,0.52
14C,1,0,0,obs1,obs2,obs1,0.48
14D,1,1,1,obs1,obs3,obs1,0.71
14E,0,0,0,obs2,obs1,obs1,0.27
14F,2,0,0,obs1,obs3,obs1,0.56
15A,0,1,1,obs1,obs3,obs3,0.21
15B,2,0,1,obs1,obs2,obs2,0.6
15C,1,0,0,obs1,obs3,obs3,0.38
15D,1,1,1,obs1,obs2,obs2,0.09
15E,3,1,1,obs1,obs3,obs3,0.8
15F,0,0,1,obs1,obs2,obs2,0.38
1A,0,2,1,obs2,obs1,obs3,0.69
1B,1,1,1,obs2,obs1,obs3,0.17
1C,1,1,0,obs3,obs1,obs2,0.55
1D,1,1,0,obs3,obs1,obs2,0.47
2A,0,0,0,obs1,obs1,obs1,0.38
2B,0,0,0,obs1,obs1,obs1,0.05
2C,0,0,0,obs1,obs1,obs1,0.01
3A,0,0,0,obs2,obs2,obs1,0.25
3B,1,1,1,obs1,obs3,obs3,0.41
3C,0,1,0,obs1,obs2,obs1,0.17
3D,0,1,2,obs1,obs3,obs3,0.71
3E,1,0,0,obs1,obs2,obs1,0.49
3F,1,1,1,obs1,obs3,obs3,0.55
5A,0,0,0,obs3,obs1,obs1,0.3
5B,0,0,0,obs2,obs2,obs1,0
5D,1,1,0,obs2,obs2,obs1,0.97
6A,0,0,0,obs2,obs1,obs1,0.18
6B,0,0,0,obs3,obs1,obs1,0.55
6C,0,0,0,obs3,obs1,obs1,0.78
6D,0,0,0,obs3,obs1,obs1,0.4
7A,0,0,0,obs3,obs1,obs1,0.41
7B,2,0,0,obs1,obs3,obs1,0.53
8A,1,0,2,obs1,obs2,obs3,0.44
8B,0,1,0,obs1,obs3,obs1,1
8C,0,0,0,obs3,obs2,obs1,0.24
8D,0,0,0,obs1,obs3,obs1,0.34
9A,0,1,0,obs3,obs1,obs1,0.55
9B,0,1,0,obs2,obs1,obs3,0.25
9C,1,0,0,obs3,obs1,obs1,0.36
9D,1,0,0,obs2,obs1,obs1,0.03
