occ01,occ02,occ03,occ04,occ05,occ06,occ07,occ08,occ09,occ10
1,0,0,1,0,0,0,1,1,0
1,0,0,0,0,0,0,1,0,1
1,1,0,1,0,0,0,0,1,1
0,1,1,0,0,0,0,1,1,1
0,1,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1
0,0,0,1,1,0,0,1,1,0
0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0
