Reporting country (Name),Partner country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[2019],S
Armenia,Madagascar,"Shrimps and prawns, other than coldwater, even smoked, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.04,
Australia,Madagascar,"Crabs nei, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,31.2,
Bahrain,Madagascar,"Fish fillets, frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.03,
Bahrain,Madagascar,"Shrimps and prawns, other than coldwater, even smoked, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Belgium,Madagascar,"Anchovies, Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,1.16,
Belgium,Madagascar,"Crabs nei, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,19.16,
Belgium,Madagascar,"Fish, crustacean and mollusc products, unfit for human consumption nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.47,
Belgium,Madagascar,"Marine fish, frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,17.65,
Belgium,Madagascar,"Seaweeds and other algae, fit for human consumption, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.18,
Belgium,Madagascar,"Shrimps and prawns (Penaeus spp.), frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,53.25,
Belgium,Madagascar,"Shrimps and prawns, in shell or not, live, fresh or chilled (excl. Pandalidae, Crangon)",Imports,Tonnes – net product weight,Tonnes – net product weight,0.95,
Belgium,Madagascar,"Skipjack prepared or preserved, not minced, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,259.89,
Belgium,Madagascar,"Skipjack, prepared or preserved, whole or in pieces, not minced, in oil",Imports,Tonnes – net product weight,Tonnes – net product weight,162.43,
Canada,Madagascar,"Abalones, dried, salted or in brine, smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,0.43,
Canada,Madagascar,Coral and the like,Imports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Canada,Madagascar,"Fish dried, whether or not salted, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.09,
Canada,Madagascar,Ornamental saltwater fish,Imports,Tonnes – net product weight,Tonnes – net product weight,0,
Canada,Madagascar,"Shrimps and prawns, dried, salted or in brine, smoked nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Canada,Madagascar,"Shrimps and prawns, live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.11,
Canada,Madagascar,"Shrimps and prawns, other than coldwater, even smoked, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,1.1,
China,Madagascar,Agar agar nei,Exports,Tonnes – net product weight,Tonnes – net product weight,0.45,
China,Madagascar,"Anchovies, Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,12.6,
China,Madagascar,Coral and the like,Imports,Tonnes – net product weight,Tonnes – net product weight,217.32,
China,Madagascar,"Crabs nei, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,266.42,
China,Madagascar,"Crabs, peeled or not, live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,1781.03,
China,Madagascar,"Crustaceans, live, fresh, chilled or boiled in water, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.68,
China,Madagascar,"Cuttlefishes and squids, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,81.5,
China,Madagascar,Eels and elvers live,Imports,Tonnes – net product weight,Tonnes – net product weight,4.36,
China,Madagascar,"Fish for culture incl. ova, fingerlings etc.",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
China,Madagascar,"Fish minced nei, in airtight containers prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,15.89,
China,Madagascar,"Fish nei, prepared or preserved, not minced",Exports,Tonnes – net product weight,Tonnes – net product weight,26.6,
China,Madagascar,"Fish, frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.04,
China,Madagascar,"Hairtails, frozen",Imports,Tonnes – net product weight,Tonnes – net product weight,164.75,
China,Madagascar,"Jack and horse mackerel, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,13.02,
China,Madagascar,"Mackerels nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,25.62,
China,Madagascar,Other red algae,Imports,Tonnes – net product weight,Tonnes – net product weight,207.61,
China,Madagascar,"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,25.12,
China,Madagascar,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), even smoked, frozen, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,44.98,
China,Madagascar,"Sardines, sardinellas, brisling or sprats, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,27,
China,Madagascar,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,26.6,
China,Madagascar,"Shrimps and prawns, live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.21,
"China, Hong Kong SAR",Madagascar,Agar agar nei,Exports,Tonnes – net product weight,Tonnes – net product weight,0.11,
"China, Hong Kong SAR",Madagascar,Agar agar nei,Imports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"American/European lobsters (Homarus spp.), live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"American/European lobsters (Homarus spp.), live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.19,
"China, Hong Kong SAR",Madagascar,"Fish dried, whether or not salted, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"Fish dried, whether or not salted, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.68,
"China, Hong Kong SAR",Madagascar,"Fish for culture incl. ova, fingerlings etc.",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"Fish for culture incl. ova, fingerlings etc.",Imports,Tonnes – net product weight,Tonnes – net product weight,0.01,
"China, Hong Kong SAR",Madagascar,"Fish heads, tail, maws etc., smoked, dried, salted, or in brine",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"Fish heads, tail, maws etc., smoked, dried, salted, or in brine",Imports,Tonnes – net product weight,Tonnes – net product weight,5.76,
"China, Hong Kong SAR",Madagascar,Ornamental saltwater fish,Exports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,Ornamental saltwater fish,Imports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,Oyster sauce,Exports,Tonnes – net product weight,Tonnes – net product weight,19.02,
"China, Hong Kong SAR",Madagascar,Oyster sauce,Imports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,14.16,
"China, Hong Kong SAR",Madagascar,"Sea-cucumber, dried, salted or in brine, smoked",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"Sea-cucumber, dried, salted or in brine, smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,47.57,
"China, Hong Kong SAR",Madagascar,"Seaweeds and other algae, fit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0,
"China, Hong Kong SAR",Madagascar,"Seaweeds and other algae, fit for human consumption, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,14.02,
