Reporting country (Name),Partner country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[2019],S
Madagascar,Australia,"Crabs nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,8.1,
Madagascar,Belgium,"Seaweeds and other algae, fit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.17,
Madagascar,Belgium,"Shrimps and prawns, live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.81,
Madagascar,Belgium,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,422.32,
Madagascar,Canada,"Fish live, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.16,
Madagascar,China,Agar agar nei,Imports,Tonnes – net product weight,Tonnes – net product weight,0.2,
Madagascar,China,Coral and the like,Exports,Tonnes – net product weight,Tonnes – net product weight,307.53,
Madagascar,China,"Crabs nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,151.42,
Madagascar,China,"Crabs, dried, salted or in brine, smoked, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,1169.27,
Madagascar,China,"Crabs, peeled or not, live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,266.74,
Madagascar,China,"Crustaceans nei, even smoked, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,8,
Madagascar,China,"Crustaceans, live, fresh, chilled or boiled in water, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.42,
Madagascar,China,"Cuttlefish and squid, other than live, fresh or chilled",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,China,"Cuttlefishes and squids, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,3.18,
Madagascar,China,Eels and elvers live,Exports,Tonnes – net product weight,Tonnes – net product weight,4.31,
Madagascar,China,"Fish live, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0,
Madagascar,China,"Fish waste, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,158.44,
Madagascar,China,"Fish, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,1138.1,
Madagascar,China,"Gadiformes nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,4.28,
Madagascar,China,Jellyfish preparations,Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,China,"Jellyfish, other than prepared or preserved",Exports,Tonnes – net product weight,Tonnes – net product weight,32.2,
Madagascar,China,"Marine fish nei, minced, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,15.91,
Madagascar,China,"Marine fish nei, prepared or preserved, not minced",Imports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,China,"Miscellaneous molluscs, other than live, fresh or chilled, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,1.81,
Madagascar,China,"Mussels nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,0.95,
Madagascar,China,"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), dried, salted or in brine, smoked",Exports,Tonnes – net product weight,Tonnes – net product weight,0.14,
Madagascar,China,"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,21.94,
Madagascar,China,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), even smoked, frozen, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,29.52,
Madagascar,China,"Salmonoids, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,7.46,
Madagascar,China,"Seaweeds and other algae, fit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,180.32,
Madagascar,China,"Seaweeds and other algae, fit for human consumption, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.17,
Madagascar,China,"Seaweeds and other algae, unfit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,44.16,
Madagascar,China,"Shrimps and prawns, live, fresh or chilled, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.19,
