record_id,month,day,year,site_id,species_id,sex,hindfoot_length,weight
33321,1,12,2002,1,DM,M,38,44
33322,1,12,2002,1,DO,M,37,58
33323,1,12,2002,1,PB,M,28,45
33325,1,12,2002,1,DO,M,35,29
33326,1,12,2002,2,OT,F,20,26
33327,1,12,2002,2,OT,M,20,24
33328,1,12,2002,2,OT,F,21,22
33329,1,12,2002,2,DM,M,37,47
33330,1,12,2002,2,DO,M,35,51
33331,1,12,2002,2,PE,F,21,23
33332,1,12,2002,2,OT,F,20,18
33333,1,12,2002,2,OT,M,20,25
33334,1,12,2002,2,OT,F,20,22
33335,1,12,2002,2,DO,F,36,46
33336,1,12,2002,2,DM,F,35,45
33337,1,12,2002,2,PB,M,28,47
33338,1,12,2002,2,PB,F,26,30
33340,1,12,2002,12,DO,M,34,24
33341,1,12,2002,12,PE,F,20,15
33342,1,12,2002,12,DO,F,36,26
33343,1,12,2002,12,DO,F,37,47
33344,1,12,2002,12,DM,M,36,40
33345,1,12,2002,12,DO,M,37,55
33346,1,12,2002,12,PE,M,21,23
33347,1,12,2002,12,DM,F,37,45
33348,1,12,2002,19,PB,M,29,51
33349,1,12,2002,19,PB,M,27,46
33350,1,12,2002,19,PP,F,20,13
33351,1,12,2002,19,PB,F,27,30
33352,1,12,2002,19,PE,F,20,17
33353,1,12,2002,19,OT,F,22,24
33354,1,12,2002,19,OT,M,21,22
33355,1,12,2002,19,PB,F,27,30
33356,1,12,2002,19,PB,M,26,28
33358,1,12,2002,18,PB,F,26,28
33359,1,12,2002,18,PB,M,27,32
33360,1,12,2002,18,PB,M,28,44
33361,1,12,2002,18,PB,F,26,26
33362,1,12,2002,18,PB,F,26,27
33363,1,12,2002,18,PB,F,25,26
33364,1,12,2002,17,OT,F,21,18
33365,1,12,2002,17,DM,M,37,49
33366,1,12,2002,17,PB,F,27,31
33367,1,12,2002,17,DM,F,36,47
33368,1,12,2002,17,PB,M,47,27
33369,1,12,2002,17,DM,F,37,48
33370,1,12,2002,17,DM,M,36,42
33371,1,12,2002,23,PE,M,20,18
33372,1,12,2002,22,DM,M,36,51
33373,1,12,2002,22,PB,M,28,39
33374,1,12,2002,22,PB,F,27,30
33375,1,12,2002,21,PB,M,28,32
33376,1,12,2002,21,PB,F,26,30
33377,1,12,2002,21,PB,F,26,30
33379,1,12,2002,21,PB,F,27,30
33380,1,12,2002,21,PB,F,27,28
33381,1,12,2002,21,PB,M,27,37
33382,1,12,2002,21,PB,F,25,29
33397,2,9,2002,1,RO,M,17,8
33398,2,9,2002,1,DO,F,35,35
33399,2,9,2002,1,PB,M,28,48
33400,2,9,2002,1,DO,M,37,60
33401,2,9,2002,1,DM,M,37,47
33402,2,9,2002,1,DO,M,35,40
33403,2,9,2002,1,OT,M,20,26
33404,2,9,2002,2,PB,M,27,54
33405,2,9,2002,2,RM,M,19,8
33406,2,9,2002,2,DO,F,36,49
33407,2,9,2002,2,DO,M,35,52
33408,2,9,2002,2,PB,M,28,41
33409,2,9,2002,2,PB,M,27,49
33410,2,9,2002,2,DM,F,35,46
33411,2,9,2002,2,PE,M,19,25
33412,2,9,2002,2,PP,M,22,17
33413,2,9,2002,2,SH,F,30,57
33414,2,9,2002,2,PB,F,27,31
33415,2,9,2002,2,NL,M,33,120
33416,2,9,2002,3,PB,M,26,44
33417,2,9,2002,3,DM,M,36,48
33418,2,9,2002,3,PB,F,26,26
33419,2,9,2002,3,DM,M,37,54
33420,2,9,2002,3,OT,F,21,24
33421,2,9,2002,3,PB,F,26,28
33422,2,9,2002,3,PB,M,30,55
33423,2,9,2002,3,DM,M,36,49
33424,2,9,2002,3,DM,F,36,47
33425,2,9,2002,3,DO,F,34,51
33426,2,9,2002,3,DM,M,37,52
33427,2,9,2002,3,PB,M,26,41
33428,2,9,2002,3,PE,F,21,24
33429,2,9,2002,3,PF,M,15,8
33430,2,9,2002,3,PB,F,26,32
33431,2,9,2002,3,DO,M,36,49
33432,2,9,2002,3,OT,M,21,30
33433,2,9,2002,3,PB,F,27,32
33434,2,9,2002,3,DO,F,36,53
33435,2,9,2002,3,DM,M,37,52
33436,2,9,2002,3,PM,M,20,19
33437,2,9,2002,24,PE,M,21,20
33438,2,9,2002,12,PE,F,21,22
33439,2,9,2002,12,DM,F,35,46
33440,2,9,2002,12,DO,F,36,52
33441,2,9,2002,12,DO,M,36,58
33442,2,9,2002,12,DM,M,36,44
33444,2,9,2002,17,PP,F,22,17
33445,2,9,2002,17,DM,F,37,49
33446,2,9,2002,17,PB,M,26,47
33447,2,9,2002,17,OT,M,21,25
33448,2,9,2002,17,PB,F,27,31
33449,2,9,2002,17,DM,M,37,50
33450,2,9,2002,17,DM,F,35,46
33451,2,9,2002,17,DM,M,36,46
33452,2,9,2002,17,NL,F,29,154
33454,2,9,2002,18,RM,F,16,12
33455,2,9,2002,18,PB,M,27,51
33456,2,9,2002,18,PB,F,26,29
33457,2,9,2002,18,PB,F,26,32
33459,2,9,2002,18,PB,F,26,25
33460,2,9,2002,18,PB,F,26,28
33461,2,9,2002,19,RM,M,17,12
33462,2,9,2002,19,PB,F,27,30
33463,2,9,2002,19,PB,F,26,27
33464,2,9,2002,19,PB,F,26,31
33465,2,9,2002,19,PB,M,28,49
33466,2,9,2002,19,PB,M,27,42
33467,2,9,2002,19,OT,F,21,22
33468,2,9,2002,19,PE,F,20,18
33469,2,9,2002,22,DM,M,37,52
33470,2,9,2002,22,PB,M,27,38
33471,2,9,2002,22,PB,F,27,30
33472,2,9,2002,22,DM,F,36,40
33473,2,9,2002,22,PB,M,27,48
33474,2,9,2002,21,PB,F,27,30
33475,2,9,2002,21,PB,M,27,41
33476,2,9,2002,21,PB,F,25,27
33477,2,9,2002,21,PB,F,26,30
33478,2,9,2002,21,PB,M,26,43
33479,2,9,2002,21,PB,F,27,31
33480,2,9,2002,21,PB,M,28,40
33481,2,9,2002,21,PB,M,27,34
33482,2,9,2002,21,PB,F,26,29
33483,2,9,2002,20,RM,M,18,10
33484,2,9,2002,20,PB,F,26,33
33485,2,9,2002,20,PB,F,27,29
33486,2,9,2002,20,PB,M,27,41
33487,2,9,2002,20,PB,F,27,33
33488,2,9,2002,20,OT,F,20,24
33489,2,9,2002,23,PE,M,20,20
33490,2,9,2002,23,RM,M,18,11
33491,2,9,2002,23,PE,F,21,24
33492,2,10,2002,4,DM,M,36,53
33493,2,10,2002,4,DM,F,36,51
33494,2,10,2002,4,DM,M,36,42
33495,2,10,2002,4,DM,F,37,50
33496,2,10,2002,4,DO,F,34,45
33497,2,10,2002,4,PB,M,27,50
33498,2,10,2002,4,PB,F,27,48
33499,2,10,2002,4,PB,F,26,25
33500,2,10,2002,6,PB,F,27,28
33501,2,10,2002,6,PB,F,26,25
33502,2,10,2002,6,PB,F,26,26
33503,2,10,2002,6,PB,F,26,35
33504,2,10,2002,6,PB,F,26,32
33505,2,10,2002,6,PB,M,26,35
33506,2,10,2002,6,DO,F,36,53
33507,2,10,2002,6,DO,M,36,56
33508,2,10,2002,6,OT,M,20,25
33509,2,10,2002,6,PB,F,26,29
33510,2,10,2002,6,PB,M,26,35
33511,2,10,2002,6,NL,F,33,180
33512,2,10,2002,11,DM,M,36,55
33513,2,10,2002,11,DM,F,37,48
33514,2,10,2002,11,DM,M,37,39
33515,2,10,2002,11,DO,F,35,46
33516,2,10,2002,11,DM,F,34,45
33517,2,10,2002,11,DM,M,37,42
33518,2,10,2002,11,DO,M,35,55
33519,2,10,2002,9,DM,F,35,42
33520,2,10,2002,9,DM,F,36,53
33521,2,10,2002,9,DM,M,37,46
33522,2,10,2002,9,DM,M,37,46
33523,2,10,2002,9,DM,F,36,42
33524,2,10,2002,8,DO,M,35,55
33525,2,10,2002,8,PB,F,29,29
33526,2,10,2002,8,PP,M,21,16
33527,2,10,2002,8,PB,F,27,35
33528,2,10,2002,8,PB,F,26,26
33529,2,10,2002,8,DO,M,38,52
33530,2,10,2002,8,DO,F,37,60
33531,2,10,2002,8,DM,F,36,41
33532,2,10,2002,8,DO,F,36,51
33533,2,10,2002,8,PB,F,26,25
33534,2,10,2002,8,DO,M,37,59
33535,2,10,2002,13,PF,F,15,7
33536,2,10,2002,13,OT,F,20,22
33537,2,10,2002,13,PB,M,25,48
33538,2,10,2002,13,PB,M,26,39
33539,2,10,2002,13,OT,M,20,19
33540,2,10,2002,13,PB,M,28,37
33541,2,10,2002,13,PB,M,29,49
33542,2,10,2002,13,PP,F,21,15
33543,2,10,2002,14,DM,M,36,48
33545,2,10,2002,14,DM,F,35,39
33546,2,10,2002,14,OT,F,21,21
33547,2,10,2002,14,DM,F,36,44
33548,2,10,2002,14,DM,F,36,46
33549,2,10,2002,14,NL,M,33,222
33550,2,10,2002,15,PB,F,25,31
33551,2,10,2002,15,RM,F,17,7
33554,2,10,2002,15,RM,F,17,10
33555,2,10,2002,15,PB,M,27,45
33556,2,10,2002,5,RO,M,15,9
33557,2,10,2002,5,RM,F,17,9
33558,2,10,2002,16,PB,F,26,25
33559,2,10,2002,16,DM,M,36,38
33560,2,10,2002,16,DO,F,36,51
33561,2,10,2002,10,RM,F,17,8
33562,2,10,2002,10,DO,F,35,50
33563,2,10,2002,10,DO,M,34,52
33564,2,10,2002,10,DO,M,38,51
33565,2,10,2002,10,RO,F,16,8
33566,2,10,2002,7,DM,M,35,42
33567,2,10,2002,7,DO,M,36,62
33568,2,10,2002,7,DO,F,37,55
33569,2,10,2002,7,DO,F,38,47
33570,2,10,2002,7,DO,F,35,54
33571,3,13,2002,1,DO,M,35,46
33572,3,13,2002,1,DO,M,37,52
33573,3,13,2002,1,PP,M,23,20
33574,3,13,2002,1,DM,M,36,50
33575,3,13,2002,1,DO,F,35,46
33576,3,13,2002,1,PB,M,27,44
33577,3,13,2002,1,DO,M,37,63
33578,3,13,2002,2,PP,M,22,20
