index,record_id,month,day,year,site_id,species_id,sex,hindfoot_length,weight
0,31711,1,21,2001,1,PB,F,26,25
1,31712,1,21,2001,1,DM,M,37,43
2,31713,1,21,2001,1,PB,M,29,44
3,31714,1,21,2001,1,DO,M,34,53
4,31715,1,21,2001,2,OT,M,20,27
5,31716,1,21,2001,2,RM,M,17,11
6,31717,1,21,2001,2,NL,M,33,121
7,31718,1,21,2001,2,DM,F,34,44
8,31719,1,21,2001,2,PB,M,26,42
9,31720,1,21,2001,2,PB,M,27,41
10,31721,1,21,2001,2,NL,F,31,158
11,31722,1,21,2001,12,DO,M,34,54
12,31723,1,21,2001,12,DM,F,37,49
13,31724,1,21,2001,12,OT,F,20,21
14,31725,1,21,2001,12,DM,M,36,43
15,31726,1,21,2001,19,PB,M,26,27
16,31727,1,21,2001,19,PB,M,26,42
17,31728,1,21,2001,19,PP,M,20,11
18,31729,1,21,2001,18,PB,F,26,29
19,31730,1,21,2001,17,OT,M,21,23
20,31731,1,21,2001,17,DM,M,37,49
21,31732,1,21,2001,17,DM,M,36,48
22,31733,1,21,2001,17,DM,F,37,43
23,31734,1,21,2001,17,DM,F,37,41
24,31735,1,21,2001,17,OT,F,20,26
25,31736,1,21,2001,17,DM,F,34,41
26,31737,1,21,2001,17,OT,M,20,20
27,31738,1,21,2001,22,PB,M,28,36
28,31739,1,21,2001,22,PB,M,27,40
29,31740,1,21,2001,22,PB,F,26,32
30,31741,1,21,2001,22,PB,F,26,25
31,31742,1,21,2001,21,PB,F,25,27
32,31743,1,21,2001,21,PB,F,27,30
33,31744,1,21,2001,21,PB,F,25,27
34,31745,1,21,2001,21,PB,F,27,29
35,31746,1,21,2001,20,PB,F,27,29
36,31747,1,21,2001,7,OT,M,20,26
37,31748,1,21,2001,7,DO,M,34,47
38,31751,1,22,2001,3,PB,M,25,40
39,31752,1,22,2001,3,PB,F,25,30
40,31753,1,22,2001,3,PB,M,26,40
41,31754,1,22,2001,3,OT,M,21,25
42,31755,1,22,2001,3,OT,F,21,25
43,31756,1,22,2001,3,PB,M,26,29
44,31757,1,22,2001,4,PB,M,27,36
45,31759,1,22,2001,4,OT,M,20,22
46,31760,1,22,2001,4,DM,M,36,48
47,31761,1,22,2001,6,OT,M,21,24
48,31762,1,22,2001,6,OT,F,20,26
49,31763,1,22,2001,6,PM,F,20,27
50,31764,1,22,2001,6,PB,F,26,29
51,31765,1,22,2001,6,PB,F,25,30
52,31766,1,22,2001,6,PB,M,27,35
53,31768,1,22,2001,11,DM,M,36,45
54,31769,1,22,2001,11,DM,M,37,54
55,31770,1,22,2001,11,DM,M,37,46
56,31771,1,22,2001,11,DM,F,34,41
57,31772,1,22,2001,9,DM,M,35,42
58,31773,1,22,2001,9,DM,F,37,44
59,31774,1,22,2001,9,DM,M,36,48
60,31775,1,22,2001,9,DM,M,36,49
61,31777,1,22,2001,13,PB,F,26,31
62,31778,1,22,2001,13,PB,F,25,36
63,31779,1,22,2001,13,PP,M,21,12
64,31780,1,22,2001,14,DM,F,36,36
65,31781,1,22,2001,14,DM,F,36,41
66,31782,1,22,2001,14,DM,M,37,47
67,31783,1,22,2001,14,DM,F,36,42
68,31784,1,22,2001,14,DM,F,36,40
69,31785,1,22,2001,14,DM,M,36,50
70,31786,1,22,2001,15,OT,M,21,22
71,31790,3,3,2001,1,PB,M,27,36
72,31791,3,3,2001,1,PB,F,24,25
73,31792,3,3,2001,2,DM,F,35,45
74,31793,3,3,2001,2,PB,M,26,41
75,31794,3,3,2001,12,OT,M,21,24
76,31795,3,3,2001,19,PB,M,28,40
77,31796,3,3,2001,19,RM,F,17,16
78,31797,3,3,2001,19,PB,M,27,27
79,31798,3,3,2001,18,RM,F,17,17
80,31799,3,3,2001,18,PB,M,26,40
81,31800,3,3,2001,18,PB,F,27,33
82,31802,3,3,2001,17,DM,F,38,58
83,31803,3,3,2001,17,RM,M,16,8
84,31804,3,3,2001,17,OT,M,21,27
85,31805,3,3,2001,17,DM,F,37,41
86,31806,3,3,2001,17,DM,F,36,40
87,31807,3,3,2001,17,OT,F,20,25
88,31808,3,3,2001,22,PB,M,26,31
89,31810,3,3,2001,22,PB,M,27,43
90,31811,3,3,2001,22,PB,F,26,27
91,31812,3,3,2001,22,PB,M,26,35
92,31813,3,3,2001,22,PB,M,37,41
93,31814,3,3,2001,21,PB,F,26,35
94,31816,3,3,2001,20,PB,F,26,30
95,31817,3,3,2001,20,NL,M,30,109
96,31818,3,3,2001,20,RM,M,17,11
97,31822,3,4,2001,4,DM,F,37,45
98,31823,3,4,2001,4,PB,M,26,39
99,31824,3,4,2001,4,DM,M,37,50
100,31826,3,4,2001,6,PB,F,26,33
101,31827,3,4,2001,6,PB,M,26,40
102,31828,3,4,2001,11,DM,M,36,39
103,31829,3,4,2001,11,DM,M,37,55
104,31830,3,4,2001,11,PP,M,22,14
105,31831,3,4,2001,11,PB,F,26,29
