,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
7135,7136,1,12,1983,12,DO,M,35.0,48.0
7138,7139,1,12,1983,18,DM,M,35.0,39.0
7140,7141,1,12,1983,22,DM,F,36.0,36.0
7141,7142,1,12,1983,21,PM,F,21.0,19.0
7143,7144,1,12,1983,13,DM,M,36.0,42.0
7144,7145,1,12,1983,12,NL,M,32.0,239.0
7146,7147,1,12,1983,24,DM,M,36.0,42.0
7147,7148,1,12,1983,12,DM,F,35.0,38.0
7148,7149,1,12,1983,11,NL,F,32.0,208.0
7151,7152,1,12,1983,11,DM,F,37.0,31.0
7152,7153,1,12,1983,20,DM,F,37.0,39.0
7153,7154,1,12,1983,13,PF,F,15.0,5.0
7154,7155,1,12,1983,11,DS,F,50.0,121.0
7155,7156,1,12,1983,21,PM,F,21.0,23.0
7156,7157,1,12,1983,19,RM,F,16.0,8.0
7157,7158,1,12,1983,12,DS,M,51.0,132.0
7158,7159,1,12,1983,20,DO,M,38.0,51.0
7159,7160,1,12,1983,17,RM,F,17.0,9.0
7160,7161,1,12,1983,11,DO,F,33.0,39.0
7161,7162,1,12,1983,18,OL,M,22.0,41.0
7162,7163,1,12,1983,12,OL,F,20.0,28.0
7163,7164,1,12,1983,22,DS,M,50.0,137.0
7164,7165,1,12,1983,18,OL,F,21.0,27.0
7165,7166,1,12,1983,24,RM,F,17.0,9.0
7166,7167,1,12,1983,12,OL,M,21.0,36.0
7167,7168,1,12,1983,14,DS,M,48.0,117.0
7168,7169,1,12,1983,17,DM,F,36.0,31.0
7169,7170,1,12,1983,12,RM,M,16.0,10.0
7171,7172,1,12,1983,14,DM,F,34.0,41.0
7172,7173,1,12,1983,18,DM,F,34.0,37.0
7173,7174,1,12,1983,12,DM,F,37.0,36.0
7174,7175,1,12,1983,11,OL,M,21.0,36.0
7176,7177,1,12,1983,17,DM,F,35.0,39.0
7177,7178,1,12,1983,18,OT,M,18.0,29.0
7178,7179,1,12,1983,11,DM,M,37.0,38.0
7180,7181,1,12,1983,12,RM,F,16.0,8.0
7181,7182,1,12,1983,15,OL,M,21.0,34.0
7183,7184,1,12,1983,24,DM,M,37.0,42.0
7184,7185,1,12,1983,18,DM,F,36.0,37.0
